S1Q1,S1Q2,S1Q3,S1Q4,S1Q5,S1Q6,S1Q1_recoded,S1Q2_recoded,S1Q3_recoded,S1Q4_recoded,S1Q5_recoded,S1Q6_recoded,Total_awareness_score,S2Q1,S2Q2,S2Q3,S2Q4,S2Q5,Average_behaviour ,S3Q1,S3Q2,S3Q3,Trust_score,S4Q1,S4Q2,S4Q3,Average_regulation_score,Age_recoded,Gender_recoded,Education_recoded,Screen_time_recoded
TRUE,Not Sure,Not Sure,FALSE,TRUE,TRUE,1,0,0,1,1,0,3,4,2,1,1,4,2.4,2,5,3,2.5,4,4,4,4,4,1,3,2
TRUE,FALSE,Not Sure,FALSE,FALSE,Not Sure,1,1,0,1,0,0,3,1,1,1,1,5,1.8,1,5,2,1.5,5,5,4,4.67,4,1,3,2
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,1,1,0,1,5,4,2,2,2,3,2.6,2,4,3,2.5,5,4,3,4,1,1,3,2
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,1,1,0,1,5,4,2,2,1,3,2.4,2,4,1,1.5,4,4,5,4.33,1,0,3,2
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,1,1,1,1,1,5,5,3,3,4,4,3.8,2,5,1,1.5,5,5,5,5,2,0,2,4
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,0,0,1,0,0,2,2,1,1,1,4,1.8,3,5,2,2.5,3,5,4,4,4,0,2,1
Not Sure,FALSE,TRUE,FALSE,TRUE,Not Sure,0,1,1,1,1,0,4,5,3,2,2,4,3.2,2,4,1,1.5,5,5,5,5,1,1,3,3
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,4,1,1,1,4,2.2,1,5,2,1.5,5,5,5,5,5,0,3,1
TRUE,FALSE,Not Sure,FALSE,TRUE,FALSE,1,1,0,1,1,1,5,4,3,1,2,3,2.6,2,4,2,2,3,5,5,4.33,1,1,3,2
TRUE,FALSE,Not Sure,Not Sure,Not Sure,FALSE,1,1,0,0,0,1,3,4,5,2,2,3,3.2,1,5,2,1.5,5,5,5,5,1,1,3,3
TRUE,FALSE,Not Sure,TRUE,TRUE,TRUE,1,1,0,0,1,0,3,4,3,3,1,5,3.2,2,4,2,2,5,5,5,5,5,0,3,2
TRUE,FALSE,Not Sure,FALSE,FALSE,TRUE,1,1,0,1,0,0,3,2,2,2,2,2,2,1,4,1,1,5,5,5,5,4,1,3,4
TRUE,Not Sure,TRUE,FALSE,TRUE,FALSE,1,0,1,1,1,1,5,2,3,2,1,4,2.4,1,4,1,1,3,3,3,3,2,1,3,2
TRUE,Not Sure,Not Sure,FALSE,FALSE,TRUE,1,0,0,1,0,0,2,2,2,2,2,4,2.4,4,3,2,3,5,4,5,4.67,4,1,3,3
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,1,0,1,3,4,2,5,2,3,3.2,4,5,2,3,4,4,4,4,4,0,3,4
TRUE,FALSE,Not Sure,FALSE,Not Sure,FALSE,1,1,0,1,0,1,4,5,3,1,1,2,2.4,3,4,1,2,1,2,4,2.33,2,1,3,4
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,1,0,1,0,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,0,2,1
TRUE,Not Sure,Not Sure,FALSE,FALSE,Not Sure,1,0,0,1,0,0,2,5,5,1,1,4,3.2,3,5,4,3.5,5,5,5,5,5,0,1,3
FALSE,FALSE,Not Sure,FALSE,Not Sure,TRUE,0,1,0,1,0,0,2,4,4,3,1,4,3.2,3,3,2,2.5,5,5,5,5,5,1,3,3
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,1,1,1,1,2,1.2,1,5,1,1,3,3,3,3,3,0,2,2
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,2,1,2,1,2,1.6,2,5,3,2.5,3,3,3,3,3,1,2,3
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,2,1,1,2,1,1.4,1,5,2,1.5,4,4,3,3.67,2,0,1,2
TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1,1,1,0,0,0,3,3,2,1,2,2,2,1,5,2,1.5,4,4,4,4,2,1,2,2
TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,1,1,1,1,0,5,2,3,2,2,1,2,1,3,3,2,3,3,2,2.67,3,0,2,3
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,1,2,2,1,2,1.6,2,4,2,2,1,2,2,1.67,3,0,1,4
TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,1,1,1,1,5,2,3,3,2,3,2.6,2,5,2,2,5,4,5,4.67,4,1,2,2
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,1,1,1,1,1,1,2,4,1,1.5,4,3,4,3.67,3,1,3,3
TRUE,FALSE,TRUE,FALSE,Not Sure,TRUE,1,1,1,1,0,0,4,2,3,1,2,2,2,1,5,3,2,4,3,3,3.33,3,0,2,3
TRUE,FALSE,TRUE,FALSE,TRUE,Not Sure,1,1,1,1,1,0,5,3,2,1,2,3,2.2,3,4,2,2.5,4,4,4,4,1,1,2,1
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,3,4,3,3,2,3,1,3,2,1.5,3,2,3,2.67,2,0,1,4
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,2,4,2,1,2,2.2,2,5,1,1.5,4,4,5,4.33,3,1,3,3
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,1,1,1,1,1,1,2,3,3,2.5,3,3,3,3,3,0,2,2
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,1,2,1,1,3,1.6,3,5,3,3,4,3,4,3.67,2,1,2,2
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,2,2,1,1,2,1.6,1,3,2,1.5,4,4,4,4,3,1,3,2
TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,1,1,1,1,0,0,4,4,4,1,1,4,2.8,2,3,2,2,3,4,4,3.67,1,0,2,2
TRUE,Not Sure,TRUE,FALSE,TRUE,TRUE,1,0,1,1,1,0,4,4,3,3,1,5,3.2,1,5,1,1,5,5,5,5,2,0,2,1
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,2,3,1,1,2,1.8,2,4,2,2,3,4,3,3.33,3,0,3,3
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,3,4,2,2,1,2.4,2,4,2,2,3,4,3,3.33,3,1,3,2
TRUE,Not Sure,Not Sure,FALSE,TRUE,Not Sure,1,0,0,1,1,0,3,2,1,1,1,2,1.4,1,4,2,1.5,3,4,3,3.33,3,1,3,2
TRUE,Not Sure,Not Sure,FALSE,TRUE,FALSE,1,0,0,1,1,1,4,3,3,1,1,2,2,3,5,3,3,3,4,3,3.33,3,1,2,2
TRUE,Not Sure,Not Sure,FALSE,TRUE,FALSE,1,0,0,1,1,1,4,2,2,1,1,3,1.8,2,4,3,2.5,4,4,4,4,3,0,3,3
Not Sure,FALSE,Not Sure,Not Sure,TRUE,FALSE,0,1,0,0,1,1,3,2,1,1,1,2,1.4,2,5,2,2,3,4,3,3.33,3,1,3,2
TRUE,Not Sure,Not Sure,FALSE,Not Sure,FALSE,1,0,0,1,0,1,3,2,3,1,1,3,2,2,3,3,2.5,3,4,4,3.67,4,0,3,4
Not Sure,FALSE,TRUE,Not Sure,TRUE,FALSE,0,1,1,0,1,1,4,3,4,2,2,3,2.8,3,2,3,3,2,3,2,2.33,5,0,1,4
FALSE,FALSE,FALSE,TRUE,FALSE,Not Sure,0,1,0,0,0,0,1,2,2,1,1,2,1.6,3,1,2,2.5,2,2,3,2.33,1,1,1,4
FALSE,Not Sure,Not Sure,FALSE,FALSE,Not Sure,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2,1,1,3,2,3,2.67,1,0,1,4
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,2,2,1,1,2,1.6,2,4,2,2,3,4,5,4,2,1,2,2
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,2,2,1,1,2,1.6,2,4,2,2,3,4,3,3.33,3,0,3,3
FALSE,FALSE,TRUE,FALSE,Not Sure,TRUE,0,1,1,1,0,0,3,2,4,2,2,3,2.6,2,3,2,2,2,2,2,2,3,0,3,2
Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,0,0,0,0,0,0,0,5,1,3,3,5,3.4,1,5,1,1,5,5,5,5,4,0,3,1
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,1,1,0,1,5,2,3,2,1,2,2,3,3,2,2.5,2,4,4,3.33,2,1,2,2
TRUE,FALSE,Not Sure,FALSE,Not Sure,FALSE,1,1,0,1,0,1,4,2,3,2,1,2,2,2,3,2,2,3,4,4,3.67,3,0,2,2
TRUE,FALSE,Not Sure,FALSE,TRUE,FALSE,1,1,0,1,1,1,5,2,2,1,1,3,1.8,2,4,2,2,4,5,4,4.33,3,0,2,2
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,1,1,1,1,1,5,1,1,1,1,2,1.2,2,2,2,2,4,3,3,3.33,2,1,2,2
TRUE,FALSE,TRUE,FALSE,TRUE,Not Sure,1,1,1,1,1,0,5,3,3,1,1,3,2.2,1,5,2,1.5,4,5,3,4,1,0,2,2
TRUE,Not Sure,Not Sure,FALSE,TRUE,FALSE,1,0,0,1,1,1,4,2,3,1,1,3,2,2,3,1,1.5,4,4,4,4,2,1,3,2
TRUE,FALSE,TRUE,FALSE,Not Sure,Not Sure,1,1,1,1,0,0,4,2,1,1,1,2,1.4,2,2,1,1.5,4,3,4,3.67,1,0,2,3
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,3,3,1,1,2,2,1,5,2,1.5,3,4,5,4,3,1,3,2
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,1,1,1,1,1,1,2,4,2,2,2,4,4,3.33,1,1,3,2
TRUE,FALSE,Not Sure,FALSE,Not Sure,FALSE,1,1,0,1,0,1,4,1,2,2,1,2,1.6,2,3,2,2,3,4,4,3.67,1,0,1,4
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,3,4,2,1,3,2.6,2,4,2,2,2,4,3,3,2,1,2,2
Not Sure,FALSE,Not Sure,FALSE,TRUE,FALSE,0,1,0,1,1,1,4,1,1,1,1,1,1,2,4,3,2.5,2,2,2,2,1,1,2,1
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,2,3,2,1,2,2,1,5,2,1.5,3,4,5,4,1,1,2,2
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,2,1,2,1,2,1.6,1,5,2,1.5,3,4,5,4,2,1,3,2
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,2,3,2,1,2,2,1,4,2,1.5,3,4,3,3.33,3,0,2,2
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,1,1,0,1,5,1,1,1,1,2,1.2,2,4,3,2.5,3,4,4,3.67,2,1,3,2
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,3,2,1,1,3,2,2,4,3,2.5,4,4,5,4.33,1,0,2,1
Not Sure,FALSE,TRUE,FALSE,Not Sure,FALSE,0,1,1,1,0,1,4,2,3,1,1,3,2,2,4,2,2,3,4,4,3.67,3,0,2,2
TRUE,FALSE,TRUE,FALSE,TRUE,Not Sure,1,1,1,1,1,0,5,3,2,1,1,4,2.2,1,3,1,1,4,4,5,4.33,1,1,3,2
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,2,2,1,1,2,1.6,2,3,2,2,4,5,4,4.33,2,1,3,3
FALSE,FALSE,TRUE,FALSE,Not Sure,Not Sure,0,1,1,1,0,0,3,3,2,1,1,3,2,1,5,3,2,3,5,4,4,3,0,3,1
TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,1,1,1,1,5,2,2,1,1,2,1.6,2,4,3,2.5,3,5,4,4,2,0,2,1
TRUE,FALSE,TRUE,FALSE,TRUE,Not Sure,1,1,1,1,1,0,5,2,3,1,1,3,2,3,4,3,3,3,5,4,4,1,1,2,4
Not Sure,Not Sure,TRUE,FALSE,TRUE,FALSE,0,0,1,1,1,1,4,1,1,1,1,1,1,1,5,1,1,4,5,4,4.33,1,1,1,4
TRUE,FALSE,Not Sure,FALSE,TRUE,FALSE,1,1,0,1,1,1,5,2,3,2,1,2,2,2,5,3,2.5,3,5,4,4,2,1,3,3
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,2,1,2,1,2,1.6,1,4,2,1.5,2,4,3,3,1,0,1,2
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,2,1,2,1,2,1.6,3,5,2,2.5,2,4,5,3.67,2,0,3,4
TRUE,Not Sure,TRUE,FALSE,TRUE,FALSE,1,0,1,1,1,1,5,2,1,2,1,2,1.6,2,3,2,2,3,5,4,4,1,0,1,3
TRUE,FALSE,Not Sure,FALSE,Not Sure,FALSE,1,1,0,1,0,1,4,2,1,2,1,2,1.6,2,4,3,2.5,4,5,4,4.33,1,0,2,2
TRUE,FALSE,TRUE,Not Sure,TRUE,FALSE,1,1,1,0,1,1,5,2,3,1,1,2,1.8,1,4,1,1,3,4,5,4,3,1,3,3
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,2,3,2,1,2,2,2,4,3,2.5,3,4,4,3.67,1,1,1,2
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,1,6,4,2,1,1,4,2.4,1,5,2,1.5,5,5,5,5,2,0,3,3
TRUE,Not Sure,TRUE,FALSE,Not Sure,FALSE,1,0,1,1,0,1,4,5,3,1,2,4,3,1,4,1,1,5,5,5,5,2,1,2,2
FALSE,Not Sure,TRUE,FALSE,FALSE,Not Sure,0,0,1,1,0,0,2,3,2,3,4,3,3,2,4,3,2.5,4,2,3,3,1,0,3,2
TRUE,TRUE,Not Sure,FALSE,Not Sure,Not Sure,1,0,0,1,0,0,2,3,4,3,3,4,3.4,3,3,1,2,4,5,4,4.33,1,1,2,4
